openmlid,seed,rf_oob,rf_test,lda_oob,lda_test,pca_oob,pca_test,choice,best_choice_oob,best_choice_test,gap,imp,traintime_rf_act,traintime_lda_act,traintime_pca_act,traintime_rf_max,traintime_lda_max,traintime_pca_max,trees_rf,trees_lda,trees_pca,selfopt_oob,selfopt_test,gap_oob,gap_test,imp_oob,imp_test,traintime_total_act,traintime_total_max,time_compression,tree_compression
12,0,0.9664,0.9493,0.9752,0.9644,0.976,0.9591,lda,pca,lda,0.0,0.015,45.8117,18.612400000000004,194.15370000000004,73.1592,44.2601,357.0365000000001,62,44,54,0.9752,0.9644,0.0008000000000000229,0.0,0.008799999999999919,0.015100000000000002,258.5778,474.45580000000007,0.5449987122088085,0.5333333333333333
12,1,0.9428,0.9587,0.962,0.9736,0.968,0.9701,lda,pca,lda,0.0,0.015,42.06310000000001,18.2848,169.20570000000004,65.5517,38.5132,333.71700000000027,64,47,50,0.962,0.9736,0.006000000000000005,0.0,0.019199999999999995,0.014900000000000024,229.55360000000005,437.7819000000003,0.5243560777638361,0.5366666666666666
12,2,0.956,0.9515,0.9752,0.9683,0.9808,0.9661,lda,pca,lda,0.0,0.017,25.880899999999997,15.6435,144.05909999999997,65.23949999999999,39.39550000000001,330.69300000000004,40,39,44,0.9752,0.9683,0.005600000000000049,0.0,0.019199999999999995,0.016800000000000037,185.58349999999996,435.32800000000003,0.4263072901352542,0.41
12,3,0.9544,0.9549,0.9728,0.9768,0.9744,0.9657,lda,pca,lda,0.0,0.022,38.16840000000003,34.0726,169.52490000000003,76.42850000000001,38.6842,336.5992,52,88,51,0.9728,0.9768,0.0016000000000000458,0.0,0.018399999999999972,0.02190000000000003,241.76590000000004,451.7119,0.5352214542056564,0.6366666666666667
12,4,0.96,0.9555,0.986,0.9691,0.974,0.9663,lda,lda,lda,0.0,0.014,41.2428,27.65120000000001,208.3355,82.42859999999997,45.50750000000001,398.824,50,61,52,0.986,0.9691,0.0,0.0,0.026000000000000023,0.013599999999999945,277.22950000000003,526.7601,0.5262917597593288,0.5433333333333333
12,5,0.964,0.955,0.9752,0.9773,0.966,0.9675,lda,lda,lda,0.0,0.022,41.2892,24.3978,198.8337,68.05619999999999,38.67399999999999,344.09030000000007,60,63,57,0.9752,0.9773,0.0,0.0,0.011199999999999988,0.022299999999999986,264.5207,450.82050000000004,0.586753929779147,0.6
12,6,0.95,0.9528,0.972,0.9704,0.976,0.9689,lda,pca,lda,0.0,0.018,56.60810000000001,28.51489999999999,244.9646,76.5509,43.83509999999997,402.39749999999987,75,64,61,0.972,0.9704,0.0040000000000000036,0.0,0.02200000000000002,0.01760000000000006,330.08759999999995,522.7834999999998,0.6314040133248278,0.6666666666666666
12,7,0.974,0.9445,0.9864,0.9677,0.99,0.9624,lda,pca,lda,0.0,0.023,37.5797,15.8715,228.4273,67.13009999999997,39.29550000000001,331.7469999999999,56,41,69,0.9864,0.9677,0.0035999999999999366,0.0,0.012400000000000078,0.0232,281.87850000000003,438.1725999999999,0.6433047159954778,0.5533333333333333
12,8,0.95,0.9512,0.9724,0.9723,0.9664,0.9775,lda,lda,pca,0.005199999999999982,0.021,46.6816,26.6591,162.3394,80.95499999999996,47.9438,407.61770000000007,57,56,39,0.9724,0.9723,0.0,0.005199999999999982,0.022400000000000087,0.021100000000000008,235.6801,536.5165000000001,0.4392783819323357,0.5066666666666667
12,9,0.9572,0.9591,0.9716,0.9751,0.9776,0.9681,lda,pca,lda,0.0,0.016,23.343700000000005,20.0671,151.73590000000004,69.17049999999999,41.0011,364.1152,34,49,41,0.9716,0.9751,0.006000000000000005,0.0,0.014399999999999968,0.016000000000000014,195.14670000000007,474.28679999999997,0.41145294366193635,0.41333333333333333
12,10,0.9476,0.9481,0.974,0.9723,0.97,0.9669,lda,lda,lda,0.0,0.024,47.38290000000001,16.5573,194.38039999999992,80.9364,41.0531,404.9552,59,38,48,0.974,0.9723,0.0,0.0,0.02639999999999998,0.0242,258.3205999999999,526.9447,0.49022335740353756,0.48333333333333334
12,11,0.9556,0.9516,0.9816,0.9724,0.976,0.9648,lda,lda,lda,0.0,0.021,39.4819,16.5717,142.36309999999997,71.6708,43.8246,364.9450999999999,55,40,38,0.9816,0.9724,0.0,0.0,0.026000000000000023,0.02080000000000004,198.4167,480.44049999999993,0.412989121441677,0.44333333333333336
12,12,0.9576,0.9548,0.972,0.9726,0.9748,0.9712,lda,pca,lda,0.0,0.018,39.31610000000001,30.334600000000005,220.02339999999992,79.54899999999998,42.9753,388.1685999999999,49,70,55,0.972,0.9726,0.0028000000000000247,0.0,0.014399999999999968,0.017800000000000038,289.67409999999995,510.6928999999999,0.5672177937073337,0.58
12,13,0.9664,0.9568,0.98,0.9684,0.972,0.9633,lda,lda,lda,0.0,0.012,34.3777,22.1873,187.2197,80.26920000000003,47.44180000000002,406.4924,44,47,46,0.98,0.9684,0.0,0.0,0.013599999999999945,0.011600000000000055,243.7847,534.2034,0.45635183153083636,0.45666666666666667
12,14,0.954,0.9465,0.9716,0.9703,0.9732,0.9701,lda,pca,lda,0.0,0.024,34.1867,16.9201,188.4845,72.83279999999995,43.82330000000002,377.6327,47,39,51,0.9716,0.9703,0.0015999999999999348,0.0,0.01760000000000006,0.023800000000000043,239.5913,494.2888,0.4847192572439432,0.45666666666666667
12,15,0.9568,0.9517,0.9684,0.9696,0.9656,0.9688,lda,lda,lda,0.0,0.018,36.50809999999999,27.538400000000006,202.9944,78.56769999999995,47.62969999999999,396.03760000000005,47,58,52,0.9684,0.9696,0.0,0.0,0.011600000000000055,0.017900000000000027,267.0409,522.235,0.511342403324174,0.5233333333333333
12,16,0.9512,0.9515,0.972,0.9708,0.98,0.9659,lda,pca,lda,0.0,0.019,32.93799999999999,21.930499999999995,177.91209999999995,82.33149999999998,48.81289999999998,413.77169999999984,40,45,43,0.972,0.9708,0.008000000000000007,0.0,0.02079999999999993,0.019299999999999984,232.78059999999994,544.9160999999998,0.427186130121683,0.4266666666666667
